id,title,author,genre,year,rating,pages,description,language,purpose,length,moods,image_url
1,Hidden Shadow,Carlos Martin,Fiction,1970,4.1,162,A fascinating Spanish fiction book that explores the habit.,Spanish,Career growth,Short,Emotional,https://covers.openlibrary.org/b/id/7989724-L.jpg
2,Magic Universe,James Kim,Mystery,2011,3.8,67,A fascinating Spanish mystery book that explores the heart.,Spanish,Entertainment,Short,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/8447637-L.jpg
3,Digital History,Isabella Kim,Fiction,1979,4.0,476,A fascinating Spanish fiction book that explores the journey.,Spanish,Motivation,Long,"Emotional, Inspired",https://covers.openlibrary.org/b/id/5394153-L.jpg
4,Dark Code,Jean Sharma,Science,1986,4.5,584,A fascinating Spanish science book that explores the shadow.,Spanish,Career growth,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/8263635-L.jpg
5,Infinite Heart,Sophie Smith,Fantasy,1975,4.3,117,A fascinating Spanish fantasy book that explores the history.,Spanish,Learning,Short,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/8055670-L.jpg
6,Golden Forest,Isabella Lovelace,Fantasy,1967,3.8,813,A fascinating Hindi fantasy book that explores the dream.,Hindi,Career growth,Long,Emotional,https://covers.openlibrary.org/b/id/7245044-L.jpg
7,Hidden Heart,Robert Martin,Fiction,1979,3.7,814,A fascinating French fiction book that explores the history.,French,Motivation,Long,"Curious, Inspired",https://covers.openlibrary.org/b/id/6314722-L.jpg
8,Hidden Data,Maria Dubois,Fantasy,1960,4.2,93,A fascinating French fantasy book that explores the light.,French,Entertainment,Short,Emotional,https://covers.openlibrary.org/b/id/5171810-L.jpg
9,Golden History,Alan Patel,Mystery,2001,3.8,698,A fascinating Hindi mystery book that explores the data.,Hindi,Entertainment,Long,Emotional,https://covers.openlibrary.org/b/id/8040260-L.jpg
10,Brief Journey,Ada Turing,Self-Help,2022,4.1,468,A fascinating Spanish self-help book that explores the data.,Spanish,Motivation,Long,Relaxed,https://covers.openlibrary.org/b/id/6230869-L.jpg
11,Brief Habit,Amit Dubois,Programming,1958,4.6,550,A fascinating English programming book that explores the heart.,English,Learning,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7755545-L.jpg
12,Hidden History,Elena Lovelace,Fantasy,1960,4.4,989,A fascinating Hindi fantasy book that explores the shadow.,Hindi,Learning,Long,Curious,https://covers.openlibrary.org/b/id/5047289-L.jpg
13,Hidden Dream,James Patel,Programming,1976,3.7,316,A fascinating French programming book that explores the universe.,French,Career growth,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/8256643-L.jpg
14,The Great Mystery,Jean Kim,Programming,1962,3.7,834,A fascinating English programming book that explores the forest.,English,Entertainment,Long,Curious,https://covers.openlibrary.org/b/id/8191986-L.jpg
15,Magic Heart,Carlos Sharma,Programming,2017,4.9,948,A fascinating French programming book that explores the mind.,French,Career growth,Long,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/5679958-L.jpg
16,The Great Journey,Sophie Dubois,Mystery,2018,4.4,260,A fascinating French mystery book that explores the universe.,French,Career growth,Medium,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/8953469-L.jpg
17,Pragmatic History,Sophie Garcia,Self-Help,1992,3.7,745,A fascinating English self-help book that explores the habit.,English,Learning,Long,Emotional,https://covers.openlibrary.org/b/id/6947403-L.jpg
18,Brief History,Alan Patel,Programming,2018,3.8,224,A fascinating English programming book that explores the universe.,English,Career growth,Medium,Curious,https://covers.openlibrary.org/b/id/7059845-L.jpg
19,The Great Habit,Elena Chen,Mystery,1993,4.2,373,A fascinating Hindi mystery book that explores the heart.,Hindi,Motivation,Medium,"Relaxed, Emotional",https://covers.openlibrary.org/b/id/7008916-L.jpg
20,Brief Shadow,Sophie Kumar,Programming,1950,4.7,529,A fascinating Hindi programming book that explores the code.,Hindi,Learning,Long,"Emotional, Curious",https://covers.openlibrary.org/b/id/5664488-L.jpg
21,Dark Habit,Jean Martin,Fantasy,1964,4.2,342,A fascinating French fantasy book that explores the algorithm.,French,Motivation,Medium,"Relaxed, Curious",https://covers.openlibrary.org/b/id/5836062-L.jpg
22,Infinite Habit,Alan Dubois,Fiction,1999,5.0,778,A fascinating Spanish fiction book that explores the shadow.,Spanish,Entertainment,Long,"Emotional, Curious",https://covers.openlibrary.org/b/id/5424818-L.jpg
23,Silent History,Priya Lovelace,Fiction,2011,4.7,179,A fascinating Hindi fiction book that explores the shadow.,Hindi,Learning,Short,"Curious, Inspired",https://covers.openlibrary.org/b/id/7316435-L.jpg
24,Lost Universe,Sophie Garcia,Fantasy,1972,4.3,184,A fascinating English fantasy book that explores the habit.,English,Motivation,Short,Relaxed,https://covers.openlibrary.org/b/id/7538919-L.jpg
25,Lost Light,Amit Turing,Self-Help,1990,4.7,252,A fascinating Spanish self-help book that explores the universe.,Spanish,Learning,Medium,"Curious, Inspired",https://covers.openlibrary.org/b/id/6795955-L.jpg
26,Dark Mind,Amit Chen,Mystery,1984,4.4,264,A fascinating Spanish mystery book that explores the journey.,Spanish,Career growth,Medium,"Relaxed, Inspired",https://covers.openlibrary.org/b/id/6293136-L.jpg
27,The Great Forest,Sophie Dubois,Mystery,1952,4.2,172,A fascinating French mystery book that explores the dream.,French,Learning,Short,Inspired,https://covers.openlibrary.org/b/id/6600549-L.jpg
28,Golden Heart,James Dubois,Programming,1989,3.5,194,A fascinating Spanish programming book that explores the habit.,Spanish,Learning,Short,"Emotional, Inspired",https://covers.openlibrary.org/b/id/7375183-L.jpg
29,Cosmic Habit,Carlos Turing,Programming,2000,4.8,414,A fascinating French programming book that explores the light.,French,Learning,Long,Curious,https://covers.openlibrary.org/b/id/5929253-L.jpg
